"","word","score","sentiment0"
"1889","favorite",2,"positive"
"1890","warm",1,"positive"
"1891","crazy",-2,"negative"
"1892","wow",4,"positive"
"1893","wonderful",4,"positive"
"1894","beautiful",3,"positive"
"1895","love",3,"positive"
"1896","charming",3,"positive"
"1897","loved",3,"positive"
"1898","winner",4,"positive"
"1899","lol",3,"positive"
"1900","worse",-3,"negative"
"1901","love",3,"positive"
"1902","awesome",4,"positive"
"1903","beautiful",3,"positive"
"1904","winner",4,"positive"
"1905","amazing",4,"positive"
"1906","hoping",2,"positive"
"1907","warm",1,"positive"
"1908","escape",-1,"negative"
"1909","warm",1,"positive"
"1910","fantastic",4,"positive"
"1911","escape",-1,"negative"
"1912","amazing",4,"positive"
"1913","love",3,"positive"
"1914","excuse",-1,"negative"
"1915","amazing",4,"positive"
"1916","beautiful",3,"positive"
"1917","paradise",3,"positive"
"1918","celebrating",3,"positive"
"1919","love",3,"positive"
"1920","love",3,"positive"
"1921","favorite",2,"positive"
"1922","warm",1,"positive"
"1923","join",1,"positive"
"1924","love",3,"positive"
"1925","winner",4,"positive"
"1926","warm",1,"positive"
"1927","yeah",1,"positive"
"1928","win",4,"positive"
"1929","love",3,"positive"
"1930","love",3,"positive"
"1931","happy",3,"positive"
"1932","love",3,"positive"
"1933","fun",4,"positive"
"1934","beautiful",3,"positive"
"1935","hate",-3,"negative"
"1936","haha",3,"positive"
"1937","favorite",2,"positive"
"1938","fun",4,"positive"
"1939","yearning",1,"positive"
"1940","heavenly",4,"positive"
"1941","loved",3,"positive"
"1942","strange",-1,"negative"
"1943","warm",1,"positive"
"1944","fabulous",4,"positive"
"1945","warm",1,"positive"
"1946","escape",-1,"negative"
"1947","dream",1,"positive"
"1948","adventure",2,"positive"
"1949","beautiful",3,"positive"
"1950","envious",-2,"negative"
"1951","lucky",3,"positive"
"1952","top",2,"positive"
"1953","warm",1,"positive"
"1954","escape",-1,"negative"
"1955","support",2,"positive"
"1956","amazing",4,"positive"
"1957","love",3,"positive"
"1958","love",3,"positive"
"1959","warm",1,"positive"
"1960","amazing",4,"positive"
"1961","warm",1,"positive"
"1962","fantastic",4,"positive"
"1963","escape",-1,"negative"
"1964","warm",1,"positive"
"1965","warm",1,"positive"
"1966","fantastic",4,"positive"
"1967","escape",-1,"negative"
"1968","pretty",1,"positive"
"1969","encouraged",2,"positive"
"1970","favorite",2,"positive"
"1971","warm",1,"positive"
"1972","escape",-1,"negative"
"1973","love",3,"positive"
"1974","warm",1,"positive"
"1975","fantastic",4,"positive"
"1976","warm",1,"positive"
"1977","escape",-1,"negative"
"1978","fun",4,"positive"
"1979","warm",1,"positive"
"1980","ha",2,"positive"
"1981","cool",1,"positive"
"1982","love",3,"positive"
"1983","fabulous",4,"positive"
"1984","dream",1,"positive"
"1985","amazing",4,"positive"
"1986","beautiful",3,"positive"
"1987","warm",1,"positive"
"1988","escape",-1,"negative"
"1989","beautiful",3,"positive"
"1990","warm",1,"positive"
"1991","escape",-1,"negative"
"1992","inconvenience",-2,"negative"
"1993","love",3,"positive"
"1994","warm",1,"positive"
"1995","beautiful",3,"positive"
"1996","favorite",2,"positive"
"1997","love",3,"positive"
"1998","nice",3,"positive"
"1999","love",3,"positive"
"2000","warm",1,"positive"
"2001","escape",-1,"negative"
"2002","fun",4,"positive"
"2003","beautiful",3,"positive"
"2004","warm",1,"positive"
"2005","escape",-1,"negative"
"2006","agree",1,"positive"
"2007","adventures",2,"positive"
"2008","awesome",4,"positive"
"2009","warm",1,"positive"
"2010","escape",-1,"negative"
"2011","love",3,"positive"
"2012","love",3,"positive"
"2013","love",3,"positive"
"2014","peaceful",2,"positive"
"2015","awesome",4,"positive"
"2016","fun",4,"positive"
"2017","love",3,"positive"
"2018","happy",3,"positive"
"2019","fun",4,"positive"
"2020","warm",1,"positive"
"2021","escape",-1,"negative"
"2022","love",3,"positive"
"2023","favorite",2,"positive"
"2024","love",3,"positive"
"2025","beautiful",3,"positive"
"2026","amazing",4,"positive"
"2027","love",3,"positive"
"2028","warm",1,"positive"
"2029","fire",-2,"negative"
"2030","love",3,"positive"
"2031","amazing",4,"positive"
"2032","hope",2,"positive"
"2033","love",3,"positive"
"2034","miss",-2,"negative"
"2035","love",3,"positive"
"2036","bad",-3,"negative"
"2037","favorite",2,"positive"
"2038","love",3,"positive"
"2039","fun",4,"positive"
"2040","favorite",2,"positive"
"2041","forget",-1,"negative"
"2042","love",3,"positive"
"2043","nice",3,"positive"
"2044","lol",3,"positive"
"2045","luck",3,"positive"
"2046","favorite",2,"positive"
"2047","straight",1,"positive"
"2048","top",2,"positive"
"2049","courtesy",2,"positive"
"2050","cutting",-1,"negative"
"2051","cuts",-1,"negative"
"2052","awesome",4,"positive"
"2053","dream",1,"positive"
"2054","love",3,"positive"
"2055","love",3,"positive"
"2056","love",3,"positive"
"2057","grand",3,"positive"
"2058","fun",4,"positive"
"2059","free",1,"positive"
"2060","love",3,"positive"
"2061","love",3,"positive"
"2062","love",3,"positive"
"2063","love",3,"positive"
"2064","amazing",4,"positive"
"2065","love",3,"positive"
"2066","loved",3,"positive"
"2067","enjoying",2,"positive"
"2068","matter",1,"positive"
"2069","lol",3,"positive"
"2070","love",3,"positive"
"2071","doubt",-1,"negative"
"2072","yeah",1,"positive"
"2073","fun",4,"positive"
"2074","fun",4,"positive"
"2075","fun",4,"positive"
"2076","fun",4,"positive"
"2077","weird",-2,"negative"
"2078","loved",3,"positive"
"2079","wonderful",4,"positive"
"2080","favorite",2,"positive"
"2081","awesome",4,"positive"
"2082","lol",3,"positive"
"2083","love",3,"positive"
"2084","forget",-1,"negative"
"2085","cute",2,"positive"
"2086","loved",3,"positive"
"2087","favorite",2,"positive"
"2088","encourage",2,"positive"
"2089","love",3,"positive"
"2090","favorite",2,"positive"
"2091","love",3,"positive"
"2092","huge",1,"positive"
"2093","love",3,"positive"
"2094","enjoy",2,"positive"
"2095","worse",-3,"negative"
"2096","merry",3,"positive"
"2097","kill",-3,"negative"
"2098","perfect",3,"positive"
"2099","heaven",2,"positive"
"2100","awesome",4,"positive"
"2101","loved",3,"positive"
"2102","forget",-1,"negative"
